"filename", "language", "MATLAB", "SystemVerilog", "Verilog", "comment", "blank", "total"
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\dr_data_read.mat", "MATLAB", 20519, 0, 0, 0, 90, 20609
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\dr_vector_vfy.m", "MATLAB", 380, 0, 0, 0, 156, 536
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\dynamic_truncation.m", "MATLAB", 14, 0, 0, 0, 12, 26
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\gen_rom_mif.m", "MATLAB", 11, 0, 0, 0, 9, 20
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\pdsch_dr_core_vfy.m", "MATLAB", 341, 0, 0, 0, 165, 506
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\pdsch_dr_vfy.m", "MATLAB", 285, 0, 0, 0, 148, 433
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\rec_vfy.m", "MATLAB", 497, 0, 0, 0, 187, 684
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\untitled.m", "MATLAB", 75, 0, 0, 0, 43, 118
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\untitled2222.m", "MATLAB", 495, 0, 0, 0, 185, 680
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\w0_data_read.mat", "MATLAB", 4, 0, 0, 0, 0, 4
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\w1_data_read.mat", "MATLAB", 2, 0, 0, 0, 0, 2
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\write_hex2mif.m", "MATLAB", 21, 0, 0, 0, 12, 33
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\matlab\write_mif.m", "MATLAB", 20, 0, 0, 0, 18, 38
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\agc_unpack.sv", "SystemVerilog", 0, -135, 0, -50, -34, -219
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\ant_data_buffer.sv", "SystemVerilog", 0, -210, 0, -43, -47, -300
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\beam_buffer.sv", "SystemVerilog", 0, -209, 0, -46, -37, -292
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\beam_power_calc.sv", "SystemVerilog", 0, -159, 0, -40, -36, -235
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\beam_sort.sv", "SystemVerilog", 0, -421, 0, -73, -92, -586
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\beams_mem_pick.sv", "SystemVerilog", 0, -352, 0, -53, -66, -471
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\beams_pick_top.sv", "SystemVerilog", 0, -103, 0, -27, -23, -153
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\code_word_rev.sv", "SystemVerilog", 0, -142, 0, -29, -38, -209
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\compress_bit.v", "Verilog", 0, 0, -275, -56, -31, -362
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\compress_matrix.sv", "SystemVerilog", 0, -227, 0, -43, -44, -314
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\compress_shift.sv", "SystemVerilog", 0, -118, 0, -18, -25, -161
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\Simple_Dual_Port_URAM_XPM.v", "Verilog", 0, 0, -63, -281, -25, -369
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\compress_bit.v", "Verilog", 0, 0, -275, -56, -31, -362
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\compress_data.v", "Verilog", 0, 0, -139, -12, -9, -160
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\cpri_tx_gen.v", "Verilog", 0, 0, -116, -18, -23, -157
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\cpri_tx_pkg.v", "Verilog", 0, 0, -176, -47, -47, -270
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\dl_data_gen.sv", "SystemVerilog", 0, -365, 0, -179, -130, -674
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\dl_data_gen_old.v", "Verilog", 0, 0, -366, -177, -132, -675
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\dl_sym_if.v", "Verilog", 0, 0, -164, -13, -22, -199
