31900,29254,7130,21289,10179,31343,13199,27774,-13702,24666,25382,31395,25342,32492,8338,32012,17739,16860,21075,31898,31588,-18874,-5283,27864,12252,32580,15167,21263,18,29930,-15312,30224,7490,-14762,31982,24909,-31146,9557,-29991,17387,29765,-21571,-20723,-9384,-20773,4240,-31689,6994,-27550,28097,-25090,-7498,8713,26786,-32339,17242,-30391,3504,-29046,24931,32767,13337,-28970,12657,
32643,-26169,32474,12042,32444,32694,6203,30533,29099,16254,24486,11133,32062,22322,30123,24313,28449,30913,32747,32614,30693,29305,24554,29983,20782,-8027,31215,32081,-26252,32602,18787,8344,-2856,-19720,-4373,30475,4592,-2188,-32175,-11892,15065,28452,21774,30818,6761,23988,-12895,-21967,16259,-10867,1144,3165,11473,-14660,21698,13217,25334,-31769,-9965,6672,19609,-3285,26847,-31687,
32635,-6361,32023,31441,31152,845,24539,-30601,29267,4740,32020,29157,30676,26588,28660,5899,31099,20860,21854,7524,11297,32582,20476,21966,19104,26845,12562,32756,23619,29647,30791,19058,-2949,32144,-6946,-9227,10160,32757,-21715,11716,14736,-32423,-6957,14952,-11520,19151,-15883,-32232,10323,-25270,-24415,-31892,-30758,3483,-25582,24314,26622,-18789,30264,-855,-22712,13956,-11207,26655,
19905,24189,25374,20868,23847,28762,29573,31577,32493,30575,32014,25051,10052,25457,28644,15255,21106,4436,17579,29631,520,31980,7749,31002,29097,32181,24532,32190,-7028,19475,28537,32716,-26029,-22104,20733,-25263,-22472,-15698,-14112,-8753,4229,-11785,-6986,-21122,-31188,20631,-15913,29000,-25065,32466,27653,-13989,32763,-7141,-31838,10609,15069,6172,-21723,-6126,32005,-26352,16103,1834,
1890,25189,27893,-3373,15744,27367,10343,32764,25943,28431,32598,17139,32568,32746,17725,30613,6242,19538,30055,30818,21823,10602,14920,7212,32129,29080,18468,26841,32010,32727,19140,29695,-32713,20958,-17196,32593,28737,-18021,31092,-476,20017,16291,-3329,27928,3614,1194,27559,11684,-32167,26305,-13053,-11135,24443,31005,29173,-31964,6438,-15101,27067,-18795,7007,1635,26596,13852,
22005,-12160,21234,17204,31898,30296,12676,869,29676,29202,18795,32251,23824,-19297,32756,16652,28646,26270,31389,6734,30620,281,26767,31033,13708,29083,31886,13042,30843,29526,30687,25635,-24279,30427,24956,27887,-7497,12484,30216,32756,13894,-14864,26841,-5793,-22497,-26482,849,28221,-15910,19585,-9405,32068,11666,32766,-18900,10519,29762,-15096,7551,-30060,11065,-14210,11489,20410,
-10062,-23196,8562,2350,12054,32739,18086,28024,6233,32762,27777,31010,-5795,32765,15352,8648,23712,25913,-23618,7211,32196,8103,32095,32507,25183,26006,24135,15405,31534,22832,11137,31054,-31184,-23144,-31629,32683,-30470,-1361,-27324,-16981,32169,-582,17383,10586,32251,424,-28948,31606,-22614,-20056,-22713,-31964,6091,31750,-6602,-4124,-20965,19935,-22163,-28920,8907,23503,30816,10456,
20873,24756,25526,32284,-32079,7500,24555,28596,19597,14371,-15673,30605,30270,6329,4066,30065,23908,16257,31078,13634,19163,-5875,32570,28806,14791,32632,28423,4875,31325,19332,21967,26038,25259,-21468,20545,-5605,-6681,-31898,21697,-15999,-26261,29448,-28776,-11706,-12547,-32150,32514,-13030,22408,-28450,10384,29796,26579,32236,-3594,15617,29239,-2976,-16303,-32403,9616,26457,-24314,19893,
-13971,2888,20540,31084,773,16430,26613,32767,24395,19213,32090,30386,32025,25287,1232,-19888,32696,7027,29345,25390,29130,29139,9883,10014,30219,32690,31229,30405,-6490,32424,32738,30537,29640,32640,25530,-10367,-32758,-28351,19116,-239,-21877,26544,-6630,-12264,-6934,20838,-32744,-26041,2165,-32005,14580,-20713,-15005,-14988,-31241,-31200,-12670,-2246,9922,-12215,32118,-4734,1383,-11882,
32730,31976,-2857,32283,29347,31519,23170,20421,32108,29719,17966,27465,29041,30830,960,23985,23149,26207,32477,28703,31744,25517,32422,24677,28175,10393,32443,32739,1595,32619,21268,31935,-1571,-7158,-32643,-5612,-14576,-8957,23170,-25625,6540,13801,27403,17871,-15177,-11101,-32753,-22325,-23191,19669,-4355,-15807,-8124,20557,4745,21558,16730,31075,-4599,-1355,-32729,-3117,-24927,-7341,
29327,13453,-5924,21774,-756,22591,32186,-7179,30425,26923,24454,30993,21625,16118,25027,31074,30582,27337,31668,4825,-18000,29098,32508,6794,32726,16766,32750,11410,3899,9271,26530,-17204,14617,-29878,32227,-24486,32759,23735,6146,31971,-12166,-18678,-21811,10637,-24618,28529,21151,10397,11765,18066,8417,-32410,-27381,15066,-4118,32055,1645,-28153,1082,30717,32535,-31429,19231,-27887,
-32120,26206,26694,-8766,32736,22101,30929,32555,-7998,7283,23564,30025,32420,5407,28962,19043,32011,-841,11185,32324,14535,32114,26466,31193,-835,27446,5429,10536,23188,-10624,-4671,17371,-6481,19671,-19003,-31573,-1434,24192,-10821,3728,-31776,31948,-22769,13122,4760,32318,15327,-26666,-7000,32757,30799,-5374,29367,6513,-19320,-10034,32757,17900,32315,-31027,-23152,30997,32433,27784,
30506,32763,31537,15580,32727,24996,32251,19674,32540,21106,31933,23276,19137,32734,31859,-28158,22571,21137,32751,32656,25415,13783,-28688,21097,22237,32346,29764,25468,25826,8651,32767,11002,-11961,-572,-8896,28826,1626,-21187,-5797,26204,3856,25065,7349,23064,-26598,-1481,-7662,16758,-23754,25038,1028,2699,20683,29728,-15834,25072,-24067,-5236,13703,20617,-20167,-31605,-104,-30865,
18089,24446,21247,26887,13080,-4238,11040,11735,32600,7571,31195,30249,32625,22068,-4864,32598,26947,12221,32251,32264,29437,30877,30747,25886,32639,19732,31182,27038,30914,-31864,-2347,-1049,-27322,-21820,24945,18730,30044,-32492,30851,-30594,-3311,31881,-10028,-12597,-3049,24222,-32404,3327,18642,30403,-5797,-5721,14392,-10969,-11328,20090,-2902,26160,-10070,-18511,-10864,7642,32683,-32751,
5312,32716,12105,32428,27431,30227,15574,-26839,16189,-7653,32201,30588,31617,28572,32741,30922,23373,20468,23042,23420,32407,21883,-32342,22607,31404,23631,19369,28479,32007,24287,32234,3726,-32334,-1844,30449,4703,17924,-12649,28829,18798,28489,-31861,-6064,11749,8607,16041,1308,10841,-22965,-25588,23297,22917,-4848,24390,-5264,23719,-9355,-22700,26430,16207,-7017,21997,-5886,-32555,
30447,32767,24287,24424,487,32655,25978,21920,28745,24852,32255,32598,22441,16909,32182,32453,8305,30612,7157,32393,32762,4124,8304,26895,16371,26964,19500,19878,32063,32738,27583,25621,12111,45,-21996,21844,-32764,-2717,-19971,-24356,15729,21356,-5773,-3328,23877,-28068,-6164,-4532,31697,-11687,31976,4941,597,32507,31698,18718,28385,-18618,26333,26049,-6759,1388,-17688,20427,
31462,32589,32077,28061,10584,10298,17218,32765,7143,-17193,31231,32020,2752,21901,20212,16201,-2306,32664,30429,19305,23401,12851,26440,13876,14007,31881,23513,-4704,30507,24568,26609,-12784,9156,-3414,6692,-16920,-31011,31107,27879,-370,-31979,-27894,-9917,6959,32652,-24373,25791,-28482,32686,2596,12157,26477,-22937,-30142,19356,29684,-29623,-7571,-22821,-32428,-11959,-21682,-19122,-30171,
13129,-556,29245,23323,32191,25333,7776,12053,21605,26061,32173,13446,2566,32506,-2482,20011,-7017,-18254,12617,23600,20671,30423,32620,3376,15159,30421,-771,31806,22932,10095,28758,-485,30022,32763,14779,23015,6117,20783,-31831,30470,24636,19862,6213,-29882,-32667,-4133,-32673,-25947,32007,27212,30241,-22732,-25425,-12170,3103,32593,29050,12177,32758,-7880,23406,31174,15705,-32764,
25737,32275,32767,32102,31435,28873,26333,20400,32672,14353,31777,30802,32127,16792,13691,17064,32307,17271,9761,22122,-7109,32767,28196,29514,-12493,28107,32684,10397,11153,32748,4336,32548,-20281,5660,-146,-6571,-9250,-15493,19500,-25642,2496,29456,-7994,11178,-6447,-28137,-29770,27973,5472,27846,31280,-24172,-31987,236,-16693,-14234,-30292,16843,-2342,31074,-30811,1124,-32479,-3790,
24074,31196,8776,31859,9839,14720,27599,26772,32603,32760,27579,17159,-27441,26769,27273,-12954,-7207,32740,-17368,31305,11290,2229,30494,30694,29909,31741,3460,13067,-4868,25616,-2202,20664,22229,10025,-31570,7660,-31255,-29275,17663,-18893,3279,698,17695,27916,-17908,18898,-18163,-30098,31965,-1339,27786,-9680,30761,-32692,-11994,-11472,-13386,8135,-32584,-30049,-32404,20434,32693,-25430,
19520,-2484,27246,29138,-82,28361,25899,25833,17008,32118,32737,31851,32767,27992,-8479,32757,28121,9830,29897,32047,-2862,-3557,30481,22053,18809,32605,-90,29014,30925,27706,30309,12361,-26318,32673,-18203,14988,32767,16413,20073,-20159,28007,6492,1402,7697,-255,17034,31651,824,16819,-31258,13412,-6833,32642,32574,-12026,-24236,-26831,-3259,-32767,-15229,-10831,17495,12452,-30346,
27183,32761,2481,15466,32197,8926,32767,26852,31750,6557,12354,31325,31084,24181,28693,31182,19577,15822,15617,31458,12417,24709,22807,29527,32685,-14670,-4621,27503,32520,30465,31696,32084,-18297,-665,-32673,-28888,6090,31528,-29,18779,8103,-32105,30349,-9613,10367,22113,-15825,10070,26276,28694,-28806,-9170,-30323,21521,23527,14208,-2320,29300,32440,-17812,-4021,-12065,-8311,-6656,
27243,11133,-19296,29269,9515,28421,30298,-2157,-20995,28453,17828,32122,18210,21509,32681,32441,22515,28760,12107,32699,30000,31409,30208,18261,30256,8662,15346,24241,22778,9124,27947,29465,18207,30818,26483,14733,-31356,16309,12478,-32696,25158,16251,27493,-6470,27242,24719,2379,-4613,-23807,15701,-30449,-2112,-13179,-9336,12695,27207,-12582,-31602,-28952,-22047,-23556,-31472,17108,14335,
28415,26821,30049,15397,32422,31852,22774,32520,30620,23015,32740,28690,31768,640,31773,9286,32745,21726,29593,-9147,-31079,31632,-5887,22384,32646,27820,28563,21664,31445,-2199,-1309,18521,16318,18824,-13067,-28924,-4744,7689,23559,4016,-11668,-23323,-1331,-15829,-8030,-32761,8011,31424,1221,24529,14070,-31465,10383,-8549,-32234,-23930,2820,17313,-16058,-24584,9214,-32694,32741,27031,
32568,32079,11191,22010,13751,22082,28691,-25056,31314,32720,30816,22289,32350,-10477,8055,22962,-3377,-16266,27264,12709,-23380,32580,19562,27514,29879,10400,31631,14597,31618,32587,6430,9617,3612,6680,-30797,-24274,-29742,-24209,-15829,-21116,9650,1766,11139,-24018,5216,31047,-31762,-23376,-32593,28445,18177,-30202,-22958,-3496,26287,17796,-13453,31073,-8555,-29337,-8601,3432,-32130,-31324,
-23674,31445,8671,32324,21698,24283,32314,20725,20433,2157,22081,29984,29729,26171,-32750,27819,-1586,-7009,6568,32744,-19990,23868,25748,32475,-26101,32261,32756,12215,17701,30973,18038,31762,22654,-9215,-31599,5373,24554,-22000,-5430,25380,-25616,32696,24210,-13215,13779,19717,1068,-17315,32729,32009,-32102,1252,25963,22450,-20266,4370,-19810,-5740,-860,30405,27575,-10694,-27356,-8054,
32489,28594,21633,23505,30889,4154,24034,-32060,28839,30167,29583,12693,32689,12635,-18728,28939,30124,21545,32499,22187,3880,32703,30373,703,26006,18956,-1054,-16996,28636,6195,31543,27928,4259,-16002,24611,22830,-10935,-32503,22272,-6770,-15557,12793,-14091,-30209,2269,30234,-26888,15371,12895,24688,-4182,-24113,-32537,2051,12296,-32760,-19934,-26728,-32751,-28015,15927,32177,-8874,-17139,
-14912,28803,32440,3723,8111,32696,30750,25673,9592,30793,27624,25334,-7021,26215,32767,24536,-1157,27757,30269,17417,32737,17547,-9409,31353,32764,-158,17024,30799,-23034,12258,21375,-29353,29178,15623,-4624,32555,-31748,2167,-11321,-20361,31332,11202,-17624,-20782,32006,19659,1,21718,32747,-17414,12550,-27755,1414,-27673,-31388,-9522,475,-32767,27998,-11186,23305,30388,24835,-14564,
17782,23518,18230,30163,17606,11006,30916,25752,22300,31318,32459,-9670,29122,18997,32576,31514,29643,32763,32702,26756,18453,32532,32246,16530,32228,12241,31332,4873,25507,31854,-31510,31089,27522,22816,-27228,-12803,27636,30864,-10858,-20262,24008,-9636,-4488,31308,-15019,26699,-3538,-8975,-13964,526,2070,18916,27078,-3922,-5825,28292,-5922,30395,-9593,-32403,20569,7682,8991,-10352,
32536,32732,22400,31762,31367,30797,31661,29542,32737,-6635,16960,32556,28896,24735,32692,30837,27947,-2925,-2996,497,-7609,9795,25338,29691,10851,22205,-26712,2521,21363,-2326,-20587,-24906,3884,1535,-23915,-8055,-9477,11192,-8444,-14176,1409,32089,-28037,3712,15451,21491,2228,11081,-17108,-32637,32630,-32764,-31872,31269,-20777,-13862,-30918,24097,-18978,-32670,24846,32685,25492,21293,
23880,-23643,26960,32482,31240,32663,-17746,11919,25497,13121,29426,26234,12957,22465,633,18023,31853,20460,-8823,28413,32709,14175,31044,11851,31492,30468,17647,-4401,32289,31197,21138,-1680,-22437,22687,18624,-4317,-9888,-2614,27546,-30523,-20581,30026,-14415,-19633,30097,-23854,32761,-27366,7686,25595,-31557,16321,-1962,29543,10486,-30549,-9052,-12058,-27609,32471,5580,-10023,25037,32724,
31831,26194,25763,26021,27484,-369,32389,27535,32454,29396,15379,-8538,30592,30066,32302,29115,27513,-11693,13588,18380,30746,21933,31388,19693,17174,27434,24158,32181,-3659,32289,25710,32505,7777,-19687,-20247,-19915,-17841,-32765,-4964,-17763,4524,-14478,-28934,-31635,-11741,13027,-5501,15034,17796,-30610,29817,-27127,11332,24344,-9407,-26189,27906,-17919,22138,-6170,32563,-5579,-20314,4137,
32087,4489,31255,18498,13488,-8793,32657,32694,28249,-10072,14618,20451,5879,17327,25008,15214,26046,28890,32674,17353,27643,15977,-704,30271,18291,28492,23242,22309,15891,30592,2918,31991,-6643,-32458,-9840,-27047,29862,-31566,2685,2189,-16603,-31181,-29326,25602,-32236,27811,-21173,29021,19882,15461,2472,-27795,-17594,28609,32760,12543,-27187,-16183,23098,-24000,28656,-11741,32637,-7089,
-4612,30080,26268,26143,8084,11552,32145,-18861,19928,22520,17492,14141,30985,32282,29724,31070,14146,30943,6795,17322,24449,28087,26399,29782,32329,32699,32716,13407,32649,21496,31614,32576,-32441,-12996,19588,-19754,31755,-30664,6354,26795,26011,23802,27708,29559,-10659,-5620,13790,-10410,29556,10782,32055,27814,-21816,-16876,-19411,-13665,5342,2118,-1836,-29899,-2788,24731,8615,-3538,
30746,21688,32235,9357,25917,5044,32698,32642,-9580,32749,31921,32205,29398,-8107,-11444,11773,3640,22576,-1967,13195,25490,25628,20876,-28302,30849,28111,32646,18909,28839,23553,32695,-7833,-11331,24563,-5880,-31403,-20050,32377,2134,-2864,-31336,1110,7398,-6048,14473,31749,-30704,-30579,-32565,-23749,-32708,-29993,20590,-20419,-25256,16513,-11048,16836,-2815,26761,-15557,22781,2178,31817,
-2891,32566,26580,20836,29762,23779,6969,29336,14741,32696,15962,27320,29002,21205,16125,23937,23437,32362,19216,30024,32017,30426,14583,25732,21599,32690,10089,29689,25620,32629,23319,32751,-32640,3625,-19162,-25289,13709,22544,32018,-14598,29264,-2162,-28617,-18091,-15251,-24981,28525,-22377,-22900,-5138,-26541,13126,-6970,-12163,29344,20287,-24641,-2248,31176,-13866,-20428,3010,-23019,-1033,
6332,28546,16823,32100,26734,13508,-29570,28971,24494,28021,29789,23590,23269,18510,28300,-1787,4710,-28714,-32312,-4804,32740,16393,-17838,32371,-364,3237,-2053,13788,-3848,32142,17583,25454,-32150,-16087,28119,6580,-18947,29853,-14117,-15309,21766,16986,-13649,22742,23070,-27038,16517,-32719,-32427,15786,-5446,32413,-1331,-28372,27487,-5081,-32765,32607,-32703,29725,32541,6372,27650,-20634,
31571,31258,-26896,22895,32431,21347,18238,29801,694,30345,32172,6750,31270,18827,32734,11103,9885,32707,-2922,28106,8468,-17883,32540,-11554,32761,30153,-12752,32750,28607,19166,23919,32114,8772,9831,18716,23442,4685,24860,-27222,-13623,-32760,12365,6219,-32065,-9792,26819,-1488,30829,31241,1985,-32637,16844,-31654,27457,3850,30663,-673,12825,-30184,-1078,15979,-26578,-22396,-6513,
32591,28828,29826,30708,27885,32766,22440,8664,20911,18103,32557,523,13464,26889,32723,32335,-14689,9579,29537,-4566,20402,6805,19463,5675,13928,32366,30118,26231,30436,31170,11268,29596,-3396,15577,13569,-11434,17208,351,23877,31601,-25228,-27313,3707,32763,29873,-18726,1702,5303,-29291,-31336,14186,-32448,25641,-32053,26360,32272,-29660,5114,12906,-19638,-12138,10105,-30769,-14062,
30901,29114,26496,-3394,5134,30372,24469,29276,23477,25965,30699,25936,32767,30501,10609,-4268,24040,32766,32312,20494,32573,32067,14688,32519,28614,-31132,30449,32598,24508,29270,8050,-9315,-10900,15035,19278,-32591,-32363,12298,21794,-14717,22858,-19988,-11459,-20025,-163,-11975,31002,-32488,-22266,344,5442,-25567,3564,6737,29291,-4031,15967,-10221,12107,-3324,-21750,-14730,31763,-31416,
26635,32498,23164,-3016,23542,27786,32484,32078,16636,22704,21258,32610,22633,9347,32748,-14921,31260,28586,32733,25257,27985,32681,22610,16122,26688,32767,-14726,26039,260,31811,32734,32626,19086,-4193,23176,32628,-22792,-17368,-4297,-6687,28230,23627,-24936,3208,23695,-31406,-1120,-29173,9825,-16017,-1506,20875,17045,2378,23716,28527,19011,118,-29272,19892,-32766,-7857,1478,-3040,
30910,-32015,29061,32264,2628,-3179,32722,25202,12294,32243,7196,323,32672,23495,14293,19174,7854,17907,32118,21935,17847,32372,28872,17417,32677,22293,31134,-22196,25344,-27744,32145,19509,10875,6981,-15139,-5720,32662,32613,1723,20942,-30373,5837,-31967,-32766,-2493,-22840,29486,-26571,-31812,27441,6490,24343,-27480,5075,15496,-27755,-2428,-24015,-10216,-24104,20770,-17434,6354,26326,
16421,32108,26037,31727,11820,28227,13773,26302,19093,32054,25404,18761,32350,-206,-9719,32740,31291,-27336,-31528,30525,28989,-16185,13583,30357,9652,21757,30263,32004,32668,8234,23897,32767,-28356,-6538,19894,-8192,30561,16641,-29732,19542,26630,-6799,20696,26865,-5215,32767,31293,1330,-9724,18067,8928,11913,15275,28491,-29819,12334,-31314,-24502,12564,-7034,-2555,-31716,22420,181,
25808,31393,30527,30825,2570,31286,-8649,31985,28361,-323,5360,28295,32189,25933,21153,30133,4654,16921,32606,21893,31411,28869,30130,10820,25526,25421,26049,4189,6805,31003,21548,29569,-20190,-9392,11909,-11114,-32667,9740,31605,7116,16411,32766,-32326,-16526,-6131,20030,25025,-12872,32435,28060,3251,-24380,9330,15500,-12880,-30929,-20546,-20675,-19878,-32499,-32053,10608,24686,-14119,
27449,2859,8366,29087,-19263,24666,-18865,6601,30592,32500,19275,5692,32739,29862,16719,7867,21427,32392,10594,22435,15087,32752,-28792,26313,31369,32627,23667,28288,24014,14492,32284,14354,17896,-32643,31681,15087,-26507,-21571,-26792,32096,11740,4178,26499,32269,1354,13489,28181,-31809,-24791,4949,-31008,23883,-29087,-1009,-15643,19527,9472,3035,-22662,16537,22294,-29388,-5607,29456,
