28144,25029,-14338,16701,29735,17964,32277,12823,29055,31859,32366,30125,-29808,9553,29363,28676,30204,17894,25762,25744,21712,18808,28100,25176,19863,26261,26046,32763,19393,-230,25303,32501,16781,21148,29464,-28192,-13767,-27404,5648,-30154,-15150,7661,5115,12890,-13608,31344,-14544,-15855,-12704,27450,-20249,20272,24542,26832,-16854,20973,26061,19597,19883,523,26412,32767,20820,-4167,
-8521,-15161,-20796,-9904,32304,12692,28669,30275,21948,21988,31299,22973,-31616,27915,15125,29125,32648,30821,29089,22159,32569,15238,-4790,32334,21573,19148,32247,14551,18408,32636,-487,25472,31640,-29049,-25323,31235,-5494,-30209,-15868,12536,24331,-24294,-9700,-23365,-8611,-17160,29068,-15015,-2797,11125,15084,24138,3602,29008,32415,-5309,24664,26591,5819,29359,27108,2930,32764,20613,
-20808,30737,-20055,19307,31988,-5046,12077,8707,-26984,9521,28756,21384,13477,32642,32328,-15153,-23563,31657,16557,32767,13052,26142,22359,32599,25944,30733,-3441,31754,-17075,25623,10326,29836,-25312,-11354,25913,26475,-7104,-32377,-30460,31589,18589,-31354,-15710,24828,29868,-2860,-5346,-29053,22771,-8459,-28276,213,-30056,19756,23953,3322,20016,-11366,32586,-8087,-27967,-20425,31098,13547,
21325,22268,30918,23125,28082,31416,26146,27161,8026,26725,24711,32694,23127,30805,32693,29529,29156,32210,22339,31860,30212,26428,32717,32762,23898,27430,31051,28823,32732,19540,32549,-1142,24879,-24038,10852,23215,16884,9314,19751,-18329,-31769,18960,21519,2189,23213,-11168,-2201,-14202,-14954,-6018,-23972,-7658,-12686,19372,1818,-585,-22418,-17925,-10466,15586,-1522,26304,-3779,-32748,
31117,-205,17702,20982,30316,-766,30740,29697,32498,26807,7582,-2245,9453,17870,17660,642,19157,32598,32600,26030,31714,-10695,30746,18784,7543,32715,32600,32338,18610,30691,7758,20209,10269,-32767,27574,-25169,12435,-32759,-11347,13849,4193,18844,31878,-32690,-31374,27465,-27601,-32761,26584,-3327,3308,19904,8243,30973,-11332,-26849,-31887,1849,3308,5286,-26970,-11478,-31836,25794,
8522,28630,-3055,31105,23948,32569,32732,28687,4196,31405,-17263,-24703,27326,29806,27838,19594,22399,20699,15329,-12571,11635,13084,-3999,12699,26041,20539,27468,11511,29196,32101,-22858,31753,-31640,15938,-32625,10306,22365,3604,1521,-15835,-32498,9350,27851,-21528,-18083,13613,-17285,26264,23917,-25401,28961,30260,30632,-30042,32523,30206,19888,-25531,-17866,30679,-14876,6577,-23478,8091,
29735,31473,27227,27792,-6749,23131,22994,32597,8686,30240,32720,31456,26680,17589,7126,20319,-595,24167,-9173,20762,16769,30811,24827,30606,4039,14215,32705,32358,-5363,20972,19679,-10414,-13766,9118,-18231,-17358,32065,23209,-23344,3340,31595,12618,1770,-9176,-19023,-27647,-31983,25707,32762,22128,-31457,25351,-28151,-11153,21385,-11704,32518,29524,-2014,-5166,32326,25177,-26200,31068,
30863,32749,31509,31191,11166,32767,664,11988,5249,21115,32333,13510,28184,26425,30618,32455,28338,5820,-7437,32650,8918,-4061,26423,29312,9076,23391,24514,31371,23352,22642,13993,14500,11008,1096,-8994,-10040,30806,-72,-32761,30496,32344,-25057,5318,29853,16714,-19376,11672,4516,16452,32246,31912,2766,31530,-32515,-19378,-14647,-31485,22947,21744,9463,-22987,23687,29629,-29384,
-29691,7697,29883,27587,9292,32626,32286,32531,-3002,28792,26425,32231,29019,16426,29474,30449,-25553,-25731,20919,27507,-30509,19867,30273,32147,-19500,18726,11034,-25605,-3694,-1066,27950,24591,-13862,-31851,13442,-17682,-31422,3046,5594,3931,-32630,-15643,-19376,5904,15218,-28353,-14318,-12105,-20512,20289,-25221,-17807,11955,26058,12540,6349,-26334,26890,-30854,20447,-32559,-32750,-17103,-21656,
-30524,14055,-3251,16989,-22530,30452,32704,16676,-11937,32581,-1349,32719,32575,28666,23217,32433,21564,28694,26130,28760,28829,32760,20929,32694,4400,9996,32172,13497,32255,-23305,31457,-5911,11915,29600,-32606,-28019,-23792,-12098,-2034,-28206,30516,-3488,32740,1776,3547,15873,23123,4671,-24672,15822,19771,15702,-15575,705,-25212,-2192,32471,31205,6218,29858,5770,-23034,9173,-32230,
