  0,127, 2, 43, 41, 3,  3, 43, 3, 53, 53, 2
127,  0, 2, 16, 29, 3,  3,  3, 3, 54, 47, 2
  3, 12, 2, 48, 24, 3,  1, 44, 3, 35, 44, 2
  0,127, 2, 28, 44, 3, 49, 27, 3, 44, 54, 2
127,  0, 2,  3, 41, 3,  3,  8, 3, 39, 53, 2
 22, 22, 2, 16,  6, 3,  5, 31, 3, 54, 35, 2
 14, 25, 2,  5,  2, 3, 49,  3, 3, 32, 44, 2
 12, 20, 2, 41, 43, 3,  1,  3, 3, 42, 44, 2
 25,  8, 2, 25, 19, 3,  6,  1, 3, 37, 42, 2
 20,  4, 2,  4,  9, 3, 49, 17, 3, 32, 43, 2
 38,  2, 2, 14,  5, 3,  9, 51, 3, 34, 34, 2
 35, 24, 2, 43, 48, 3,  3,  3, 3, 34, 42, 2
 37, 24, 2, 42, 49, 3,  3,  7, 3, 32, 42, 2
 38, 22, 2, 26,  1, 3,  6, 11, 3, 34, 34, 2
 57,  2, 2,  1, 51, 3,  3, 11, 3, 33, 42, 2
 36, 24, 2, 41, 48, 3, 49,  3, 3, 38, 33, 2
 34, 22, 2, 44,  3, 3,  5, 51, 3, 40, 34, 2
 54,  2, 2,  7,  2, 3, 49,  3, 3, 44, 42, 2
 54, 14, 2,  7, 30, 3, 49, 10, 3, 42, 42, 2
 38,  8, 2, 41, 18, 3,  3,  5, 3, 38, 52, 2
 35, 20, 2, 43, 42, 3,  3,  7, 3, 34, 42, 2
 52, 24, 2, 40, 48, 3,  3, 27, 3, 34, 37, 2
 54, 24, 2, 41, 48, 3,  3,  3, 3, 46, 33, 2
 33, 21, 2, 44,  1, 3,  3, 43, 3, 44, 54, 2
 57,  4, 2, 41,  8, 3,  3,  1, 3, 52, 34, 2
 56, 25, 2, 41,  1, 3,  3, 51, 3, 42, 43, 2
 46, 25, 2,  5,  3, 3, 49, 15, 3, 42, 42, 2
 45,  6, 2, 41, 14, 3,  1,  1, 3, 32, 34, 2
 44, 24, 2, 41, 10, 3,  1,  7, 3, 38, 44, 2
 33, 12, 2,  6, 26, 3, 44,  2, 3, 44, 40, 2
 53, 24, 2, 41, 10, 3,  3,  3, 3, 38, 42, 2
 37,  6, 2, 41, 12, 3,  3,  5, 3, 36, 32, 2
 36,  2, 2,  1,  4, 3, 44, 51, 3, 42, 44, 2
 35, 20, 2, 42, 41, 3,  3,  7, 3, 52, 42, 2
 57, 14, 2, 24, 29, 3,  6, 14, 3, 35, 34, 2
 56, 24, 2, 40, 48, 3,  3,  3, 3, 42, 33, 2
 35, 20, 2, 41, 42, 3,  3,  7, 3, 42, 44, 2
 47, 12, 2,  5, 25, 3, 49,  2, 3, 34, 36, 2
  1,  8, 2, 41, 19, 3,  3,  1, 3, 42, 43, 2
  0, 12, 2, 40, 25, 3, 44,  6, 3, 38, 44, 2
  0,  8, 2, 41, 16, 3,  3,  5, 3, 34, 42, 2
  0,  0, 2, 41, 27, 3,  1,  6, 3, 42, 44, 2
  0,  0, 2, 41, 41, 3,  3, 43, 3, 39, 34, 2
  1,  0, 2, 41, 27, 3,  1,  6, 3, 42, 52, 2
  0,  2, 2, 48,  0, 3,  5, 11, 3, 54, 44, 2
  0,  1, 2, 40,  2, 3,  1, 51, 3, 44, 46, 2
  1,  1, 2,  6,  1, 3, 49, 51, 3, 38, 38, 2
  1,  0, 2, 41, 10, 3,  3,  1, 3, 34, 34, 2
  0,  0, 2, 40, 29, 3,  3,  6, 3, 34, 46, 2
  1,  0, 2, 41, 17, 3,  3,  1, 3, 38, 34, 2
  0,  0, 2, 40, 31, 3,  3,  2, 3, 52, 44, 2
  0,  0, 2, 41, 26, 3,  1,  2, 3, 42, 32, 2
  1,  0, 2, 14, 11, 3,  5, 13, 3, 42, 44, 2
