32501,16603,31822,30590,-2916,-20073,32021,6198,21545,16126,14180,29771,25496,31924,1071,20520,-20139,32639,30814,16092,-4042,30023,32743,17718,32231,24857,28119,24833,15722,27604,32725,-6699,-4170,28249,7814,11744,-32637,25899,6954,-32176,-24688,-28525,29540,-13688,20582,-7386,-32750,25547,25848,2900,11145,28544,32517,13127,1265,-27564,5903,21350,-16823,-21379,-28749,17656,-1671,-32075,
22981,24160,28490,7858,24990,32471,8246,17192,27062,32524,31156,32703,28109,21901,-3932,27084,25877,26079,17096,30397,-5207,-18748,-3892,-20005,-2764,32659,30859,30832,28093,28341,31508,29772,23358,-22136,16187,31811,-21195,4398,31713,27895,-18475,-3985,-10148,2056,16840,24373,32531,18443,-20101,19838,27954,12235,-32351,-26874,32536,25952,32651,2667,-11020,-11094,-16867,16447,-8999,13688,
11110,-6775,22928,24322,29859,32668,-5758,21067,31645,-2851,28784,-3029,23155,-7439,32025,18089,26979,32332,32493,31368,30618,32739,17145,25842,31886,4681,6346,18494,31688,31893,31602,32748,-30826,-32059,-23409,21958,-13497,2547,-32257,25097,-8502,-32643,15658,32627,23185,-31912,6936,-27322,-18597,5326,4231,-9472,-11672,1367,27924,20147,-7550,-32431,32147,-27050,8342,7521,-8660,-1127,
32284,28455,2595,27345,22501,17969,32488,-9261,23340,-17796,32408,32635,8798,32754,14694,32541,26349,26527,-17252,31787,32375,-30565,-2458,32552,32356,28772,19452,27150,25600,-17736,17210,31213,5609,-16248,-32665,-18054,23820,27401,-4269,-31431,-22999,-27513,4842,2939,31564,951,29288,3845,19478,-19235,-27858,7955,-5059,-11811,-32675,-3749,5178,15680,-26368,18346,20454,-27553,-27884,9973,
31666,17910,32717,30528,27210,32368,32444,22906,5210,-29259,32384,32746,30933,531,32193,-3286,2695,32750,14542,18160,17786,10965,32380,-15545,-32443,10831,32613,15905,32767,19053,8742,30222,-8426,-27440,1820,11905,18256,5101,-4593,-23431,32351,14752,-4997,-1179,10811,32763,-6110,-32602,32656,1072,29364,-27275,-27520,30878,-5026,28845,4599,-30926,-3178,-28649,20,-26659,31580,12662,
26898,27136,32666,25001,32195,14251,30630,32155,31905,31744,26153,13911,23603,28673,32628,32751,24443,32738,13693,26398,17321,25309,19655,32734,30625,30088,24451,32765,26939,27538,30122,29933,-18714,18366,-2580,-21181,6096,-29506,11640,-6305,7469,8127,-19742,29668,22728,-15860,-3016,-1042,21823,-1395,-29769,19413,-27815,20812,-26218,1475,11654,12977,-21813,434,-18654,17758,-12897,-13331,
9506,32743,17173,28504,32118,32692,2553,19073,-2482,31502,29576,5315,-12790,22745,30983,4050,18140,31751,-10033,5643,-8166,32469,26855,22748,-28580,14145,-8654,9490,23726,-5240,32686,28425,31358,1261,27907,16162,-6494,2228,-32668,26644,-32673,-9019,14104,32334,-30168,-23588,10664,-32516,-27288,-8098,-31193,32278,31734,4409,-18776,23585,16027,-29557,-31604,31363,-22600,32346,-2311,-16301,
31807,31577,32654,32285,31942,12997,12995,4762,26968,28475,31880,-2488,4782,32193,-15029,18091,32169,4911,32747,-3656,31250,32684,18946,16967,14239,-4421,31233,-9020,28720,30824,32659,32694,7875,8751,-2729,-5603,7307,-30079,30081,-32420,-18612,-16214,7573,32673,-32417,6108,29118,27320,-6232,32397,-1150,-32563,-9855,-2340,-26734,-28033,-29512,32468,-9909,31501,-15775,11116,-2660,2188,
32592,27847,31075,-3808,31879,17737,32762,32448,31962,19733,30620,26572,32712,29143,32449,28683,10097,26336,32324,19360,18411,30193,28740,28647,18455,32244,31931,-11175,32159,23064,27139,31892,-3383,17269,10395,-32545,7577,27551,614,4564,-7220,26160,11666,19173,-1907,14979,-4560,15843,-31173,-19496,5373,-26437,-27106,-12730,15739,15908,27076,5831,7354,-30803,-6287,23276,18363,-7523,
27564,31741,26649,19231,25036,-30170,32110,24326,27165,32759,25841,28212,-7870,30496,27901,800,29882,22604,32355,21579,23532,-20456,25904,27040,-31408,-14330,13515,29291,30767,23488,21956,28304,17718,8135,-19066,-26531,-21139,-12784,-6532,21954,-18324,-733,20148,16666,-31808,11988,17182,-32758,13446,23723,-5185,24658,-22803,-25598,-20066,-18507,-9340,-29468,-29850,14687,-11274,-22847,-24324,16510,
32318,31876,30909,32758,16587,-4828,31234,16692,31203,32324,32603,32494,32621,30310,20350,32618,21937,19711,11921,30945,-115,30100,28367,32590,31200,28783,10897,30258,30825,30484,-2860,31080,5407,7592,10878,797,28259,32410,-9906,-28197,-10004,5375,-3279,4221,-3090,12449,25682,-3124,-24340,-26176,-30522,10777,32767,-12949,16401,-3406,10014,-15660,30902,12576,-11113,12019,-32642,10380,
31377,32144,21619,-21077,17032,26387,24577,11321,27762,1233,-19887,31949,32216,31849,30940,30223,6959,24631,-10911,29439,24707,32375,31969,31701,32136,25398,17887,12288,17041,30953,31114,32106,-9444,-6361,-24623,25089,-27993,-19428,-21672,-30749,17406,32744,-26042,-7278,5985,-7705,10789,12660,-32020,21610,-30897,-14390,-21524,5057,-7190,-8292,-6403,20704,-27455,-30376,27988,-10751,-10277,6549,
32591,31351,-14579,22635,-13586,32336,26194,676,27101,25359,31889,31946,24059,17007,22032,31934,24122,4412,31981,31016,28277,20217,32248,31567,32752,28007,32767,490,-1155,4641,3553,29799,3397,9529,-29345,-23693,-29818,5301,19687,-32761,18418,20752,-7535,-7293,22245,-28008,24255,-7342,-22177,32469,7134,-10568,16556,-25787,5813,-8789,1000,17008,36,32764,32747,-32437,-32574,13628,
32255,30291,17256,22931,-31902,-5983,15928,17064,25837,24530,29784,22818,-6575,32757,12957,32767,26236,32672,32625,9954,31974,30292,10078,30738,32105,4092,32184,-4870,10591,-5497,19689,7730,5775,12497,27855,-23407,-7481,32217,-28636,27974,-20153,21725,-13661,-23516,32101,-846,-30097,84,19631,-2495,3048,-31219,-7166,-12493,-31179,-11351,6556,-32511,6156,-32403,31009,-32303,26192,-31843,
