"filename", "language", "SystemVerilog", "Verilog", "comment", "blank", "total"
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\dl_symb_cmpr\dl_data_gen.v", "Verilog", 0, 366, 179, 132, 677
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\dl_symb_cmpr\dl_package_data.sv", "SystemVerilog", 521, 0, 76, 71, 668
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\dl_symb_cmpr\dl_symb_if.v", "Verilog", 0, 164, 13, 22, 199
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\dl_symb_cmpr\package_data.v", "Verilog", 0, 509, 66, 69, 644
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\lp_buffer_syn.sv", "SystemVerilog", 70, 0, 34, 21, 125
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\mac_ants.sv", "SystemVerilog", 114, 0, 50, 35, 199
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\mac_beams.sv", "SystemVerilog", 171, 0, 49, 40, 260
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\mem_streams.sv", "SystemVerilog", 82, 0, 38, 25, 145
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\mem_streams_ram.sv", "SystemVerilog", 96, 0, 38, 29, 163
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\par_compare.sv", "SystemVerilog", 72, 0, 42, 24, 138
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\pusch_dr_core.sv", "SystemVerilog", 411, 0, 64, 82, 557
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\pusch_dr_top.sv", "SystemVerilog", 161, 0, 39, 43, 243
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\register_shift.sv", "SystemVerilog", 18, 0, 0, 8, 26
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\search_max.sv", "SystemVerilog", 90, 0, 27, 18, 135
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\txdata_queue.sv", "SystemVerilog", 445, 0, 49, 80, 574
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\ul_compress_data.sv", "SystemVerilog", 188, 0, 21, 21, 230
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\ul_package_data.v", "Verilog", 0, 607, 60, 76, 743
"Total", "-", 6311, 7236, 3049, 2584, 19180
